MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         2,    2.344000e-02,    5.928349e-04,    2.528090e-04,    2.717419e-03,   -2.786501e-03,   -4.302195e-03,    1.300966e-02,    4.900716e-03,   -3.612326e-03,    6.915118e-01,    2.015042e-01,   -1.178453e+00,    3.661363e+00,   -1.568828e+00,    7.187450e+00,   -6.133252e-01,   -5.893082e-01,    1.057600e-03,    3.882400e-04,    2.321400e-03,   -1.556100e-03,   -4.829400e-03,    1.542500e-02,    4.488500e-03,   -4.008400e-03,    6.721000e-04,    6.721000e-04,    3.360500e-04,    3.360500e-04,    3.360500e-04,    3.360500e-04,    6.721000e-04,    6.721000e-04,
         3,    2.344000e-02,    4.346789e-04,   -1.407916e-04,    1.464867e-03,   -1.360011e-03,   -3.005049e-03,    2.159451e-03,   -7.090384e-04,   -3.336894e-05,   -4.444001e-01,    1.899592e+00,    1.127347e-01,    4.217660e-01,    4.680510e-02,    1.872183e+00,    8.233720e-01,   -2.473077e+00,    3.122200e-04,    3.826600e-04,    1.480400e-03,   -1.301900e-03,   -2.998600e-03,    2.417400e-03,   -4.821500e-04,   -7.148500e-04,    2.755600e-04,    2.755600e-04,    1.377800e-04,    1.377800e-04,    1.377800e-04,    1.377800e-04,    2.755600e-04,    2.755600e-04,
         4,    2.344000e-02,    7.439991e-04,   -6.739101e-04,    3.781364e-03,   -4.268845e-03,   -1.081610e-02,    8.644878e-03,   -1.500074e-03,    1.846491e-03,    4.474396e-01,   -1.337656e-01,   -1.668810e+00,    1.325000e+00,    6.906342e-01,    3.242049e+00,   -6.410891e-01,   -5.297252e-01,    1.118600e-03,   -7.859000e-04,    3.082800e-03,   -3.714200e-03,   -1.052700e-02,    1.000200e-02,   -2.036800e-03,    1.403000e-03,    8.372100e-04,    8.372100e-04,    4.186000e-04,    4.186000e-04,    4.186000e-04,    4.186000e-04,    8.372100e-04,    8.372100e-04,
         5,    2.344000e-02,    3.016167e-03,   -1.011919e-03,    9.975736e-03,   -3.707264e-03,   -1.124978e-02,    6.966335e-03,   -1.261555e-02,    1.457883e-03,   -1.280578e-02,   -1.048625e-01,   -2.386612e-01,   -3.083226e-02,    9.930325e-01,   -1.545935e+00,    2.281744e-01,   -3.976992e-01,    3.001600e-03,   -1.131200e-03,    9.840000e-03,   -3.724800e-03,   -1.068500e-02,    6.087100e-03,   -1.235600e-02,    1.005500e-03,    1.137500e-03,    1.137500e-03,    5.687400e-04,    5.687400e-04,    5.687400e-04,    5.687400e-04,    1.137500e-03,    1.137500e-03,
         6,    2.344000e-02,    1.330120e-03,   -1.692812e-03,    7.654809e-03,   -9.534382e-03,   -1.154253e-02,    1.140548e-02,   -4.350318e-03,    8.446379e-03,   -5.819043e-01,    1.032637e+00,   -5.012504e-01,   -2.812254e+00,   -1.056065e+00,   -4.058624e-01,   -1.920732e+00,    1.428604e+00,    4.512700e-04,   -1.332200e-04,    7.276300e-03,   -1.165800e-02,   -1.234000e-02,    1.109900e-02,   -7.251200e-03,    1.060400e-02,    1.510300e-03,    1.510300e-03,    7.551300e-04,    7.551300e-04,    7.551300e-04,    7.551300e-04,    1.510300e-03,    1.510300e-03,
         7,    2.344000e-02,    6.775056e-03,   -4.007736e-03,    4.102478e-02,   -1.561112e-02,   -9.244018e-03,    7.988232e-03,   -2.698270e-02,    8.227592e-03,    1.388884e+00,   -1.079553e+00,   -7.281379e-01,   -4.318641e-01,   -5.997461e-02,   -1.188534e+00,    8.126190e-01,   -1.220442e-01,    9.868100e-03,   -6.411900e-03,    4.021400e-02,   -1.609200e-02,   -9.310800e-03,    6.664800e-03,   -2.517300e-02,    7.955800e-03,    2.227000e-03,    2.227000e-03,    1.113500e-03,    1.113500e-03,    1.113500e-03,    1.113500e-03,    2.227000e-03,    2.227000e-03,
         8,    2.344000e-02,    1.322812e-03,   -5.596212e-04,    1.916047e-03,   -2.051678e-03,   -1.939165e-03,    1.757815e-03,   -8.390721e-04,    6.923750e-04,    7.403350e-01,   -2.238848e+00,    1.574825e+00,    1.166873e+00,   -6.139055e-01,   -2.201557e-01,   -1.154059e+00,    5.096767e-01,    1.526700e-03,   -1.176200e-03,    2.132900e-03,   -1.891000e-03,   -2.023700e-03,    1.727500e-03,   -1.156900e-03,    8.327400e-04,    2.754000e-04,    2.754000e-04,    1.377000e-04,    1.377000e-04,    1.377000e-04,    1.377000e-04,    2.754000e-04,    2.754000e-04,
         9,    2.344000e-02,   -4.086439e-05,   -7.281114e-04,    1.430385e-02,   -1.278689e-02,   -6.486256e-03,    8.703410e-03,   -9.377192e-03,    7.434410e-03,    3.380436e-01,   -3.904014e-01,   -2.493853e+00,   -2.188413e-01,   -4.494241e-01,   -3.400364e-01,   -4.113545e-01,    1.415200e+00,    4.321600e-04,   -1.274400e-03,    1.255900e-02,   -1.294000e-02,   -6.800700e-03,    8.465500e-03,   -9.952800e-03,    9.414700e-03,    1.399300e-03,    1.399300e-03,    6.996600e-04,    6.996600e-04,    6.996600e-04,    6.996600e-04,    1.399300e-03,    1.399300e-03,
        10,    2.344000e-02,    1.616220e-04,   -1.406455e-04,    1.490351e-03,   -2.065446e-03,   -5.279268e-03,    5.027721e-03,   -3.334789e-04,    2.518701e-04,    3.235182e-01,    8.407770e-01,   -5.299218e-01,    1.157192e+00,   -2.026468e-01,    1.117723e+00,    1.864175e-01,    1.542902e+00,    2.955100e-04,    2.073100e-04,    1.380700e-03,   -1.826000e-03,   -5.321200e-03,    5.259000e-03,   -2.563300e-04,    8.904000e-04,    4.138500e-04,    4.138500e-04,    2.069200e-04,    2.069200e-04,    2.069200e-04,    2.069200e-04,    4.138500e-04,    4.138500e-04,
        11,    2.344000e-02,   -3.173435e-03,    2.118912e-03,    3.044728e-03,   -4.215112e-03,   -6.461579e-03,    5.406331e-03,   -5.038205e-05,   -7.434564e-04,   -6.377240e-01,    5.853377e-01,   -1.565133e+00,    8.951626e-01,    1.450048e-01,    5.633936e-01,   -1.446775e+00,   -1.000212e+00,   -3.576100e-03,    2.488500e-03,    2.550600e-03,   -3.932500e-03,   -6.415800e-03,    5.584200e-03,   -9.638900e-04,   -1.375000e-03,    6.314100e-04,    6.314100e-04,    3.157100e-04,    3.157100e-04,    3.157100e-04,    3.157100e-04,    6.314100e-04,    6.314100e-04,
