MT    15
1  1  -60.000  -20.000  
5
10.00000 -5.1602e-06 5.1911e-06 6.2776e-02 -6.2414e-02 -6.2812e-02 6.2349e-02 2.4111e-06 -2.3433e-06 1.7703e-02 1.7703e-02 4.4256e-03 4.4256e-03 4.4256e-03 4.4256e-03 1.7703e-02 1.7703e-02 
1.00000 -2.0505e-05 -2.7916e-04 1.8820e-02 -2.0292e-02 -1.8219e-02 2.1275e-02 2.6795e-05 9.9555e-05 5.5685e-03 5.5685e-03 1.3921e-03 1.3921e-03 1.3921e-03 1.3921e-03 5.5685e-03 5.5685e-03 
0.10000 -4.9707e-04 3.5176e-05 5.7892e-03 -5.9967e-03 -4.7782e-03 5.5451e-03 1.2324e-04 -3.1023e-05 1.5622e-03 1.5622e-03 3.9055e-04 3.9055e-04 3.9055e-04 3.9055e-04 1.5622e-03 1.5622e-03 
0.01000 -1.9925e-04 1.3401e-04 1.8138e-03 -1.8461e-03 -1.5187e-03 1.5911e-03 4.1897e-05 -3.2023e-05 4.7718e-04 4.7718e-04 1.1930e-04 1.1930e-04 1.1930e-04 1.1930e-04 4.7718e-04 4.7718e-04 
0.00100 -6.4007e-05 5.7048e-05 5.7451e-04 -5.7709e-04 -4.8101e-04 4.8791e-04 1.3265e-05 -1.2274e-05 1.4939e-04 1.4939e-04 3.7347e-05 3.7347e-05 3.7347e-05 3.7347e-05 1.4939e-04 1.4939e-04 
2  2  60.000  20.000  
5
10.00000 -6.9358e-06 5.7772e-06 6.2342e-02 -6.2798e-02 -6.2396e-02 6.2558e-02 5.7531e-07 -4.8936e-06 1.7684e-02 1.7684e-02 4.4211e-03 4.4211e-03 4.4211e-03 4.4211e-03 1.7684e-02 1.7684e-02 
1.00000 -6.0396e-05 -2.7515e-04 2.1831e-02 -1.8935e-02 -1.9880e-02 2.1165e-02 1.7648e-05 8.2464e-05 5.7936e-03 5.7936e-03 1.4484e-03 1.4484e-03 1.4484e-03 1.4484e-03 5.7936e-03 5.7936e-03 
0.10000 -4.3760e-04 4.7395e-05 7.5946e-03 -6.8646e-03 -5.1446e-03 5.9199e-03 1.3385e-04 -2.1532e-05 1.7921e-03 1.7921e-03 4.4802e-04 4.4802e-04 4.4802e-04 4.4802e-04 1.7921e-03 1.7921e-03 
0.01000 -1.7215e-04 1.1783e-04 2.4397e-03 -2.3462e-03 -1.6262e-03 1.7010e-03 5.0169e-05 -3.5394e-05 5.6446e-04 5.6446e-04 1.4111e-04 1.4111e-04 1.4111e-04 1.4111e-04 5.6446e-04 5.6446e-04 
0.00100 -5.5269e-05 4.9470e-05 7.7568e-04 -7.6398e-04 -5.1531e-04 5.2223e-04 1.6105e-05 -1.4509e-05 1.7875e-04 1.7875e-04 4.4687e-05 4.4687e-05 4.4687e-05 4.4687e-05 1.7875e-04 1.7875e-04 
3  3  -60.000  0.000  
5
10.00000 -2.1400e-06 9.4020e-07 6.3255e-02 -6.2192e-02 -6.3228e-02 6.2170e-02 1.9351e-06 -1.6765e-06 1.7738e-02 1.7738e-02 4.4345e-03 4.4345e-03 4.4345e-03 4.4345e-03 1.7738e-02 1.7738e-02 
1.00000 -2.3989e-05 -7.1696e-05 1.7024e-02 -2.0988e-02 -1.6584e-02 2.1608e-02 1.4798e-05 6.4531e-05 5.4263e-03 5.4263e-03 1.3566e-03 1.3566e-03 1.3566e-03 1.3566e-03 5.4263e-03 5.4263e-03 
0.10000 -8.9155e-05 1.5304e-05 4.5102e-03 -5.4560e-03 -4.1433e-03 5.1466e-03 9.1746e-05 -1.3090e-05 1.3678e-03 1.3678e-03 3.4195e-04 3.4195e-04 3.4195e-04 3.4195e-04 1.3678e-03 1.3678e-03 
0.01000 -3.4911e-05 2.4113e-05 1.3740e-03 -1.4954e-03 -1.3074e-03 1.4095e-03 3.6521e-05 -2.4705e-05 3.9518e-04 3.9518e-04 9.8796e-05 9.8796e-05 9.8796e-05 9.8796e-05 3.9518e-04 3.9518e-04 
0.00100 -1.1271e-05 1.0082e-05 4.3423e-04 -4.4631e-04 -4.1358e-04 4.2375e-04 1.1852e-05 -1.0517e-05 1.2144e-04 1.2144e-04 3.0361e-05 3.0361e-05 3.0361e-05 3.0361e-05 1.2144e-04 1.2144e-04 
4  4  -30.000  -20.000  
5
10.00000 2.4493e-06 1.9168e-05 6.2685e-02 -6.2612e-02 -6.2674e-02 6.2604e-02 1.1635e-06 -1.7091e-05 1.7718e-02 1.7718e-02 4.4296e-03 4.4296e-03 4.4296e-03 4.4296e-03 1.7718e-02 1.7718e-02 
